name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
Cha Tae Sik,1739,37,0,1,0.2,28.3,0,33.5
Cha Tae Sik,1740,0.6,0,1.2,0,39.3,0,58.8
Cha Tae Sik,1744,38.7,0,0.5,0,24.4,0,36.3
Cha Tae Sik,1753,1.2,0,0.1,0,20.8,0,77.9
Jeong So Mi,1754,2.1,0,0,0.1,1.5,0,96.3
Jeong So Mi,1755,66.9,0.2,1.6,3.9,25.3,0,2
Jeong So Mi,1756,2.9,0,0,0.2,1.1,0,95.9
Cha Tae Sik,1757,0,0,0.1,0,51.5,0,48.3
Jong Seok,1762,68.8,0.7,4.6,0,18.9,0,7.1
Jong Seok,1763,35.5,0,58.9,0.4,5,0.1,0.2
Jong Seok,1765,37.5,0,16.3,0.9,31.4,2.5,11.4
Jong Seok,1766,0.1,0,0,0,1.7,0,98.2
Jong Seok,1767,0.3,0,88.7,0.1,10.5,0.1,0.3
Jong Seok,1772,5.3,0,83.5,0.2,10.3,0.3,0.3
Jong Seok,1773,0.3,0,87.9,0,11.7,0,0.1
Jong Seok,1774,2.6,0,56,0.1,40.9,0,0.4
Kim Do Chi,1774,0,0,91.4,0.3,0.3,7.9,0.2
Lam Loan,1775,0,0,0.1,0,99.8,0,0.1
Kim Do Chi,1775,0,0,0.3,0,99.5,0,0.2
Lam Loan,1776,0,0,0.1,0,99.9,0,0
Lam Loan,1777,0,0,0,0,100,0,0
Lam Loan,1778,0,0,0.1,0,99.9,0,0
Kim Do Chi,1778,0,0,0.4,0,98.4,0,1.2
Jong Seok,1779,15.7,0,66,0.1,15.9,0.1,2.1
Jong Seok,1781,0,0,0,0,0,0,100
Jeong So Mi,1785,0,0,100,0,0,0,0
Lam Loan,1787,0.5,0,0,0.6,0.8,0,98
Jong Seok,1787,14.1,0,55.5,0,30.4,0,0
Lam Loan,1788,9,0,15.3,0,62.6,0,13.1
Jong Seok,1788,22.9,0,74.7,0,2.4,0,0
Jong Seok,1789,0.4,0,95.7,0,3.9,0,0
Lam Loan,1789,1,0,9.3,1,88.6,0,0.1
Lam Loan,1791,4.2,0,13.7,1.1,80.9,0,0
Jong Seok,1791,0,0,0.3,0,99.7,0,0
Lam Loan,1792,1,0,17.4,0.2,81.4,0,0
Jong Seok,1792,0,0,92.1,0.3,6.3,0,1.3
Cha Tae Sik,1848,24.8,0,0,0.1,71.3,0,3.8
Cha Tae Sik,1860,0.4,0,0.1,0.5,57.6,0,41.4
Cha Tae Sik,1865,71.3,0,0.3,6.4,6,4.8,11.2
Cha Tae Sik,1866,23.7,0,0.3,2.6,49,0,24.4
Man Seok,1875,7.2,0,1.8,3.3,56.2,0.4,31
Jong Seok,1875,4,0,21.2,3.3,14.2,0.5,56.7
Man Seok,1887,0.8,0,1.6,0.1,0.8,3.1,93.7
